iter	Passed	Remaining
0	2	2713
1	4	2460
2	7	2362
3	9	2405
4	11	2362
5	14	2370
6	16	2354
7	18	2326
8	20	2301
9	22	2261
10	25	2255
11	27	2235
12	29	2219
13	31	2206
14	33	2190
15	35	2176
16	37	2167
17	39	2155
18	41	2153
19	44	2158
20	46	2178
21	48	2172
22	50	2157
23	52	2154
24	55	2146
25	57	2140
26	59	2135
27	61	2130
28	63	2134
29	65	2131
30	68	2127
31	70	2126
32	72	2126
33	73	2100
34	76	2100
35	78	2105
36	80	2106
37	83	2109
38	85	2107
39	87	2103
40	89	2101
41	92	2101
42	94	2099
43	96	2095
44	98	2094
45	100	2087
46	103	2095
47	104	2069
48	106	2075
49	109	2073
50	111	2070
51	113	2069
52	115	2064
53	118	2067
54	120	2063
55	122	2061
56	124	2056
57	126	2055
58	128	2054
59	130	2051
60	133	2048
61	135	2046
62	137	2046
63	139	2046
64	142	2045
65	144	2044
66	146	2042
67	149	2043
68	151	2043
69	153	2039
70	155	2037
71	157	2035
72	159	2030
73	161	2026
74	164	2024
75	166	2020
76	168	2023
77	171	2026
78	173	2023
79	175	2021
80	178	2020
81	180	2018
82	182	2016
83	184	2016
84	187	2013
85	189	2010
86	191	2008
87	193	2007
88	195	2006
89	198	2005
90	200	2002
91	202	1999
92	204	1997
93	207	1996
94	209	1995
95	211	1993
96	213	1990
97	216	1988
98	218	1985
99	220	1984
100	223	1985
101	225	1983
102	227	1985
103	230	1983
104	232	1981
105	234	1978
106	236	1975
107	239	1976
108	241	1977
109	244	1976
110	246	1973
111	248	1971
112	250	1968
113	253	1966
114	255	1963
115	257	1960
116	259	1958
117	261	1955
118	263	1953
119	266	1951
120	268	1949
121	270	1948
122	273	1946
123	275	1943
124	277	1942
125	279	1940
126	281	1936
127	284	1935
128	286	1935
129	288	1932
130	291	1932
131	293	1927
132	295	1923
133	297	1921
134	299	1920
135	301	1918
136	304	1918
137	307	1922
138	311	1929
139	314	1931
140	317	1933
141	320	1936
142	323	1936
143	326	1939
144	329	1942
145	333	1948
146	336	1953
147	340	1957
148	344	1965
149	347	1967
150	350	1969
151	353	1969
152	355	1968
153	358	1967
154	361	1968
155	363	1968
156	366	1967
157	369	1967
158	371	1967
159	374	1967
160	377	1966
161	379	1965
162	382	1964
163	384	1962
164	387	1959
165	389	1957
166	392	1956
167	394	1954
168	397	1953
169	399	1950
170	401	1946
171	404	1944
172	406	1943
173	408	1941
174	411	1939
175	413	1936
176	415	1933
177	418	1930
178	420	1929
179	423	1927
180	425	1924
181	427	1921
182	429	1917
183	431	1913
184	433	1911
185	436	1908
186	438	1905
187	440	1903
188	442	1899
189	445	1897
190	447	1894
191	449	1891
192	451	1888
193	453	1885
194	456	1883
195	458	1881
196	460	1877
197	462	1875
198	465	1872
199	467	1869
200	469	1866
201	471	1864
202	474	1861
203	476	1859
204	478	1857
205	481	1855
206	483	1852
207	486	1850
208	488	1847
209	490	1845
210	492	1843
211	495	1840
212	497	1837
213	499	1835
214	502	1833
215	504	1830
216	506	1827
217	509	1827
218	511	1825
219	514	1824
220	517	1823
221	519	1821
222	522	1821
223	525	1821
224	528	1820
225	531	1819
226	533	1817
227	536	1816
228	538	1814
229	541	1812
230	543	1809
231	545	1807
232	548	1805
233	551	1803
234	554	1803
235	556	1802
236	559	1801
237	562	1799
238	564	1798
239	567	1796
240	569	1794
241	572	1792
242	574	1790
243	577	1788
244	579	1786
245	582	1785
246	585	1783
247	587	1780
248	589	1778
249	592	1776
250	594	1775
251	597	1772
252	599	1771
253	602	1768
254	604	1766
255	607	1764
256	610	1763
257	612	1762
258	615	1760
259	617	1758
260	620	1756
261	623	1754
262	625	1752
263	628	1751
264	630	1749
265	633	1747
266	635	1745
267	638	1743
268	640	1741
269	643	1739
270	645	1737
271	648	1735
272	650	1732
273	652	1729
274	655	1727
275	657	1724
276	659	1722
277	662	1720
278	665	1718
279	667	1716
280	669	1713
281	671	1710
282	674	1709
283	677	1707
284	679	1705
285	682	1703
286	684	1701
287	687	1698
288	689	1697
289	692	1695
290	694	1693
291	697	1691
292	699	1688
293	702	1686
294	704	1684
295	707	1681
296	709	1678
297	711	1675
298	713	1672
299	716	1671
300	718	1669
301	721	1666
302	723	1664
303	725	1661
304	727	1658
305	729	1655
306	732	1653
307	734	1650
308	736	1647
309	738	1644
310	741	1641
311	743	1638
312	745	1636
313	747	1633
314	749	1629
315	751	1626
316	753	1623
317	755	1620
318	757	1617
319	759	1614
320	762	1611
321	764	1609
322	766	1606
323	768	1603
324	770	1599
325	772	1596
326	774	1593
327	776	1590
328	778	1586
329	780	1583
330	781	1580
331	783	1577
332	785	1573
333	787	1570
334	789	1567
335	791	1564
336	794	1562
337	796	1559
338	798	1556
339	800	1553
340	801	1549
341	803	1546
342	805	1543
343	821	1567
344	824	1564
345	826	1562
346	828	1559
347	830	1556
348	832	1553
349	834	1549
350	836	1547
351	838	1543
352	840	1540
353	842	1537
354	844	1533
355	845	1530
356	847	1526
357	849	1523
358	851	1520
359	854	1518
360	856	1516
361	859	1514
362	861	1512
363	863	1508
364	865	1506
365	868	1503
366	870	1501
367	872	1498
368	874	1495
369	876	1492
370	878	1489
371	880	1486
372	883	1484
373	885	1481
374	887	1478
375	889	1476
376	891	1473
377	894	1471
378	896	1468
379	898	1466
380	901	1464
381	903	1461
382	905	1458
383	907	1455
384	910	1453
385	912	1451
386	915	1449
387	917	1447
388	920	1445
389	922	1443
390	925	1441
391	927	1438
392	930	1436
393	932	1434
394	935	1432
395	938	1431
396	940	1429
397	943	1427
398	946	1425
399	949	1423
400	951	1421
401	954	1419
402	956	1417
403	960	1416
404	962	1414
405	965	1412
406	968	1410
407	970	1408
408	972	1405
409	975	1403
410	977	1401
411	979	1398
412	982	1396
413	984	1394
414	987	1391
415	989	1389
416	991	1386
417	994	1384
418	996	1381
419	998	1378
420	1016	1398
421	1019	1395
422	1021	1393
423	1023	1390
424	1026	1388
425	1028	1386
426	1031	1383
427	1033	1381
428	1036	1379
429	1038	1376
430	1041	1374
431	1043	1371
432	1045	1369
433	1048	1366
434	1050	1364
435	1052	1362
436	1055	1359
437	1058	1357
438	1060	1355
439	1063	1353
440	1065	1350
441	1067	1348
442	1070	1346
443	1073	1343
444	1075	1341
445	1077	1338
446	1080	1336
447	1083	1334
448	1085	1332
449	1088	1330
450	1091	1329
451	1094	1326
452	1096	1324
453	1099	1322
454	1102	1320
455	1105	1318
456	1107	1316
457	1110	1314
458	1113	1312
459	1116	1310
460	1118	1307
461	1122	1306
462	1125	1304
463	1127	1302
464	1131	1301
465	1134	1299
466	1137	1298
467	1140	1296
468	1143	1294
469	1146	1292
470	1148	1290
471	1151	1288
472	1154	1286
473	1157	1283
474	1159	1281
475	1162	1279
476	1165	1277
477	1168	1275
478	1171	1273
479	1174	1272
480	1177	1270
481	1180	1268
482	1183	1266
483	1185	1264
484	1188	1261
485	1191	1259
486	1194	1257
487	1197	1256
488	1199	1253
489	1202	1251
490	1205	1249
491	1207	1247
492	1210	1244
493	1212	1242
494	1215	1239
495	1217	1237
496	1220	1235
497	1222	1232
498	1225	1230
499	1228	1228
500	1230	1225
501	1233	1223
502	1236	1221
503	1238	1219
504	1241	1216
505	1243	1214
506	1246	1211
507	1248	1208
508	1250	1206
509	1252	1203
510	1254	1200
511	1256	1197
512	1259	1195
513	1261	1193
514	1264	1190
515	1266	1187
516	1268	1185
517	1271	1183
518	1273	1180
519	1275	1177
520	1278	1175
521	1280	1172
522	1282	1170
523	1285	1167
524	1288	1165
525	1290	1162
526	1292	1160
527	1294	1157
528	1296	1154
529	1298	1151
530	1300	1148
531	1303	1146
532	1305	1143
533	1307	1140
534	1309	1138
535	1311	1135
536	1313	1132
537	1315	1129
538	1318	1127
539	1321	1125
540	1323	1122
541	1325	1120
542	1327	1117
